Date,ShareLink,ShareCommentary,SharedUrl,MediaUrl,Visibility
2026-02-26 16:57:13,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7432831117243703297,"AI is going to kill social media and I can’t wait.""
""""
""I long for the days of Web 1.0. Nerds writing blogs. Artists sharing portfolios. Weirdos making weird stuff. (Homestar Runner? Hamster Dance?) ""
""""
""You owned your own little piece of the internet and nobody’s algorithm could take it away.""
""""
""Sure, MySpace, Facebook, and LinkedIn made it easy to get online. But on social media, you’re always playing someone else’s game.""
""""
""You never have a direct relationship with your audience. One algorithm tweak can drown your reach overnight. ""
""""
""That’s all different now. With AI, you can create your own website in two minutes. Your own domain. Your traffic. Your odd little project that’s always yours.""
""""
""The Kite AI team is taking this idea where it wants to go: Turn your LinkedIn profile into a personal website, lickety-split.""
""""
""So tell me…""
""""
""If you could turn your LinkedIn profile into a personal website in two minutes, would you actually do it?""
""""
""Drop a comment or DM me. I’d love to hear what's up.","","",MEMBER_NETWORK
2026-02-24 18:28:01,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7432129190415687680,"How often do you look at your own website?""
""""
""I ask because I'm seeing two types of people building websites in Kite AI. Let's call them ""launchers"" and ""builders.""""
""""
""Launchers sign up, chat about their business, pick a design, and go live. They may not log in again for days, if ever. Their sites look great. They just want to get on with it.""
""""
""Builders sign up, chat about their business, pick a design, and keep going. They switch out images, try new layouts, add new sections, and tinker with the copy. They're in there every day.""
""""
""That’s great! There’s no right or wrong way to use Kite. But it does shift how we think about the product.""
""""
""Launchers seem to want things handled for them. It’s very ""I don't care, just give me the results."" ""
""""
""Builders have stronger ideas about what they need. It’s more like ""I care very much, and I need this to look and sound exactly like what's in my head.""""
""""
""Launchers are betting their website can take care of itself. Builders aren't ready to make that bet yet.""
""""
""So tell me… ""
""""
""do you want to fiddle with every detail on your website? ""
""""
""Or do you want it done for you? ""
""""
""Or do you lean one way for certain things and the other way for others?""
""""
""(Seriously, tell me. I need to know this stuff.)","","",MEMBER_NETWORK
2026-02-18 17:02:55,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7429933445293752320,"Yesterday, I launched my daily trivia game, Ojipoji. Two hours later, I was pulling a Jean-Luc Picard style facepalm.""
""""
""On one question, people were guessing “Military Ranks” when the game required the exact phrasing “Army Ranks”. The UI didn’t make it clear at all.""
""""
""I felt like a dope.""
""""
""Fortunately, I had my buddy Claude Code on call to push a fix by the afternoon. Now it’s got Wheel of Fortune-style tiles, so you can’t screw up the letter count.""
""""
""That’s my little side project, though. I’m not losing a payday because of a bug in Ojipoji.""
""""
""A business website is a different story, though. There are still bugs (there always are), but how would you even know?""
""""
""Maybe your contact dropdown doesn’t work on mobile.""
""""
""Or your portfolio takes forever to load on Android.""
""""
""Or your SEO titles are still the placeholder text from your template.""
""""
""My friends called me out for my goof (thank you all). Your customers are just going to look somewhere else.""
""""
""AI can handle this stuff now. (This is what we're building at Kite AI, incidentally.)""
""""
""I think we’d all be better off if it did.","","",MEMBER_NETWORK
2026-02-12 23:00:36,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7427849135224999936,"It's Presidents' Day weekend here in Yankeedom and because I'm me and I have Kite AI, I got to thinking… what businesses would presidents start after they left the White House?""
""""
""Presenting the new websites for…""
""""
""- Theodore Roosevelt, men’s adventure tourism and taxidermy (naturally)""
""- Abraham Lincoln, bespoke hats (hand-stitched in Springfield)""
""- George Washington, executive leadership coaching""
""- John Quincy Adams, cold plunge wellness guru""
""- Calvin Coolidge, minimalist brand copywriter (his CTA is “Initiate Veto” 😂)""
""""
""These were a fun afternoon’s work while poking at, y’know, GTM for a startup.""
""""
""I apologize for the topless photo of JQA (but it had to be done).""
""""
""Links in comments","","",MEMBER_NETWORK
2026-02-12 19:01:57,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7427789076738793472,"Serious question, LinkedIn: Is dealing with your website more like making dinner or more like vacuuming?""
""""
""I love cooking. Testing new recipes and busting out old favorites is fun for me. ""
""""
""I feel the same way about building websites. As a teenager, I'd redesign my site for something to do between ICQ messages. I built devonwells.com in Kite AI the other week and had a blast. ""
""""
""Web design can feel like play.""
""""
""Not everyone feels this way. My wife would live on raw broccoli if it weren't for me. Cooking isn't play for her. It's a problem she wants to go away.""
""""
""You know what's a problem I want to go away? Vacuuming. The buzzing noise. The tangled cords. The way I somehow crack my ankles off the stupid thing. So I got a Roomba knock-off and never looked back. Now I don't think about vacuuming. It just sort of happens, and I smile when my robo-buddy drifts by doing its thing.""
""""
""Nobody vacuums as a hobby. (If you do, hit me up, I've got a basement project for you.)""
""""
""But it's established I'm a weirdo. For most people, what's your website like? Cooking, vacuuming, or somehow both? (Designing it is fun, maintaining it is not?)""
""""
""Asking for a startup I know.","","",MEMBER_NETWORK
2026-02-10 14:18:04,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7426992856973692929,"Anyone else noticed Claude getting weirdly passive-aggressive lately? Anthropic, you may want to dial back your ""fed-up mom of a teenager"" weights.","","",MEMBER_NETWORK
2026-02-08 12:09:03,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7426235614179758080,"Alright, what the hell does ChatGPT know about me?","","",MEMBER_NETWORK
2026-02-05 21:04:32,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7425283209015406593,"Who has time to arse around with their website?""
""""
""I don’t. It’s a pain. You’ve got to plan a design, hack together some code with placeholders, then figure out what the hell you want to say.""
""""
""Squarespace was supposed to help. But so was WordPress (and anyone who’s used it knows how that goes).""
""""
""I’m an old nerd. I’ve been hand-rolling websites since the mid-’90s. It’s fun until it isn’t. I’ve got a job now. And a kid. And, theoretically, a life. So, Devonwells.com has pointed at a “coming soon” GitHub Pages deployment for years. (It was never coming soon. I’ve been lying to you all.)""
""""
""That’s all different now, and that’s ‘cause of Kite AI. ""
""""
""Yes, I am the product marketer for Kite. Yes, it is my job to promote it. Yes, you should still believe me. Like the Hair Club for Men president, I’m also a client. (See what I mean about being an old nerd?)""
""""
""I cobbled together this little number over the weekend while poking at five other things. It’s all done through chat, so it’s pretty easy to prompt it, walk away, reply, check Facebook, poke it again, watch a YouTube video, get a snack, make your next change.""
""""
""Honest, I didn’t love the three design options it gave me. (I’m picky.) But two minutes into editing, I came up with this tile layout that I love. ""
""""
""Kite generated some of those tiles (Recraft did the others). Then it fit them into that grid. It wrote a shuffle mechanic, so they load in a different order on every refresh. It created that “Oh, hi!” animation. ""
""""
""It told me stuff was stupid when I was suggesting stupid stuff. It did a lot. ""
""""
""I’ve fooled with Lovable and 100% of the time I bailed fast. The designs were too far away from what I needed (again, picky) and I hated worrying about my credits. None of that was an issue here. Even if your original three aren’t quite there, you just prompt it like sending ChatGPT to work.""
""""
""Anyway, devonwells.com now points at something good for the first time in forever, and I don’t need to stress about it. Plus, it’s got me messing around with web design like I used to, just without learning whatever replaced Bootstrap. (Next up, let’s get those tiles flipping.)","","",MEMBER_NETWORK
2026-02-01 15:03:31,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7423742805195481088,"Well, that's encouraging! Go kick the tires, folks! (Or is that ""tug the strings""?... there's a kite-related metaphor here somewhere...)","","",MEMBER_NETWORK
2026-01-30 16:23:19,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7423038111103848448,"Alright, the word is out! Kite AI is live and kicking. Go build a website through chat (and tell me all about it, for real; I need the user data).""
""""
""While the team was gearing up for launch, we were all building websites left and right, trying to push the edges and see what it could do.""
""""
""Because I’m me, mine were… wacky. Other people sensibly built sites for real estate agents, wedding photographers, and insurance agents.""
""""
""I built sites for…""
""""
""- Folk horror hot sauce""
""- Dirty stand-up comic""
""- Caribbean picklers""
""- Slasher-themed burlesque dancer""
""- Rent-a-grandma service""
""- Sourdough doula""
""""
""🤷‍♂️ ""
""""
""Obviously, some turned out better than others (as happens with any new product). ""
""""
""My favorite design, though, is this site for Mürbles the Unresolved, an avant-garde birthday clown. The surrealist collage hero image really clicks for me. I feel seen.""
""""
""What complete nonsense do you want to see here? HMU (or go try Kite yourself, for that matter.)","","",MEMBER_NETWORK
2025-11-04 22:22:24,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7391600733839810560,"You want a totally gonzo peek behind the curtain of how an LLM works? Ask it to write a trivia question.""
""""
""I’ve been building a trivia game for a few weeks now (details to come). This morning, I was working on new game sets and I hit up my good buddy GPT-5 for some research.""
""""
""Specifically, I needed some questions where the answers all included a type of cheese. Y’know, things like “Swiss Army Knife”, “Brie Larson”, or “Colby Donaldson, runner-up on Survivor: The Australian Outback”. ""
""""
""Any human immediately gets the pattern (at least if they’ve passed middle school and wasted their lives watching reality TV like I have). But GPT-5 melts down like a Nazi in Raiders of the Lost Ark. Check the screenshots for its totally bananas line of thinking.""
""""
""What’s happening here? I’ll defer to the ML real ones; I’m still a “slightly more savvy than average” marketing doof. But my guess is that a prompt like “Write trivia questions that include a type of cheese in the answer — but the question can’t be about cheese itself” triggers a breakdown in the LLM’s tokenization/semantic search process, where it starts scrambling to find similarities to the target at the level of a token, not the word or concept itself. At least that explains why it thinks “Confederate” has “feta” in it or “Stephen Colbert” includes “Colby” somewhere. Anyone have better insight?""
""""
""The response gets there eventually … sort of. Either way, it’s fascinating to watch in real time. ""
""""
""This isn’t to hate on AI — far from it. I’m sure any of the frontier models could reverse engineer a theme like this, but they definitely seem to struggle with the “generative” part here. ""
""""
""Good. Trivia is better for humans anyway.""
""""
""Speaking of… any dorks want to beta test a trivia game? ""
""""
""#Vibecoding #AISlop #BuildInPublic #Trivia #AsiagoBagel","","",MEMBER_NETWORK
2025-08-15 14:39:07,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7362130729729708034,Any freelance software devs in my network? HMU 📞 I want your thoughts on vibe-coding. (I'll even hook you up.),"","",MEMBER_NETWORK
2025-08-04 15:47:08,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7358161576794738692,I’m happy to share that I’m starting a new position as Product Marketing Manager at Appsmith!,"","",MEMBER_NETWORK
2025-07-22 14:15:37,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7353427506839928836,Does anyone else get royally irritated with o3 when it gives answers in a table (as it does 90% of the time) instead of normal text like a normal person? Or am I the weirdo (which is also true 90% of the time)?,"","",MEMBER_NETWORK
2025-06-09 14:09:59,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7337843407496560640,Check out all the new stuff that Appsmith dropped last week!,"","",MEMBER_NETWORK
2025-05-06 15:02:36,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7325535462738051073,"You can probably use an AI agent to make your life easier. But, I get it — figuring out what it's all about is a headache. You've got to read, like, words. Several of them. Words are scary. Easier to keep doing things the way you always have.""
""""
""Or you can peep this sweet FAQ and get up to speed in minutes. There's still words — but fewer of them! It's all gonna be OK.","","",MEMBER_NETWORK
2025-04-25 20:18:23,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7321628668408000512,"Look and learn, folks! 👀","","",MEMBER_NETWORK
2025-04-16 14:58:30,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7318286673136496641,"I have approximately 30 bajillion tabs open at any time, and searching through them all for the exact joke I need will take until the heat death of the universe.""
""""
""An AI sidebar helps. A lot.","","",MEMBER_NETWORK
2025-04-14 12:53:49,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7317530522425991171,AI agents that use your own data in a sidebar — simple as that (but kind of magical when you try it). Give us an upvote!,"","",MEMBER_NETWORK
2025-04-11 18:30:25,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7316528064077709314,"I hopped on the GPT selfie bandwagon — and if you add about 50 lbs and subtract about 50,000 hairs, it's pretty spot on.","","",MEMBER_NETWORK
2025-04-10 13:08:54,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7316084763704889344,"I use ChatGPT every day and I have for years. (Scandalous for a writer to admit, I know! 🙀 )""
""""
""But seriously, if you know what you're doing, it's great for making the most mind-numbing parts of your job all but go away. (If you say you have no mind-numbing parts of your job, you are a liar.)""
""""
""I have limited brain power. By 3 pm, I'm basically a jellyfish. 🪼 But AI lets me squeeze a little more juice out of those drooling afternoons. I can do research, prepare blog outlines, or generate 100 ideas for upcoming content (only three of which will make the roadmap — but three is better than zero).""
""""
""The catch is that ChatGPT on its own knows diddlysquat about Appsmith (where I work). I'm copying/pasting in old templates as guides, data from surveys I ran, or research I need turned into snappy headlines. If I can even copy/paste it....""
""""
""So, I can't ask it, ""Hey boss, do you remember which of the 1,000 Slack threads last week has that video of the dancing penguin?"" 🐧  or ""Can you check Mixpanel and whip up a quarterly report for me, tout suite?""""
""""
""Anyway, the smart folks at Appsmith (Abhishek Nayak and Nikhil Nandagopal among them) figured out this was a drag, so they fixed it.""
""""
""Appsmith Agents takes an LLM, links it to the umpteen tools and data sources you use every day, and stuffs it in a Chrome extension (so you don't have to switch tabs and log in every time you've got a question).""
""""
""If you've tried it, it seems like something that was always here. Except it's only been here for, like, 10 minutes. (We launched today.)""
""""
""Check it out below and hop on over to Appsmith to give it a whirl yourself.""
""""
""#AI #AIAgents #EnterpriseAI #LaunchDay","","",MEMBER_NETWORK
2025-04-01 16:35:14,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7312875200109232128,"Want your chatbots to be less annoying? We built it! (Well, the smart people at Appsmith did... not me personally.)","","",MEMBER_NETWORK
2025-03-27 20:15:08,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7311118599597801472,"Check it out, RAG enthusiasts!","","",MEMBER_NETWORK
2025-03-19 16:40:26,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7308165465200033794,"I got a lot of raised eyebrows when I was doing my English degree.""
""""
""“Where are you going to get a job?” (Answer: Lots of places.)""
""""
""“Uh huh. Have fun at the English store.” (That’s a bookstore, by the way, and I did have fun working there.)""
""""
""“Cool — teacher or librarian?” (I tried teaching. I was terrible at it.)""
""""
""Not only was I doing an English degree — I was mostly studying postmodern literature.""
""""
""Y’know, those dense, unreadable novels that are less about story and more about obtuse musing on meaning and reality? (At least The Crying of Lot 49 was fun.)""
""""
""Anyway, I’ve been working on a lot of content lately about data ontologies. AI nerds know, but for the rest of you: Ontologies are a way of representing the relationships between data stored in multiple databases. They help AI models understand how it all fits together.""
""""
""The software engineers I work with started explaining it — talking about semantic relationships and showing me knowledge graphs that look like the rhizomes of Deleuze and Guattari.""
""""
""I stopped them. “Ontology, you say? Semantic models? I got you. Hold my beer.”""
""""
""I guess my professors were right. Everything really does loop back around to philosophy.""
""""
""TL;DR — Go read a book, folks!""
""""
""#AI #Postmodernism #books #DataScience","","",MEMBER_NETWORK
2025-03-18 15:13:08,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7307781111051431939,"Hey AI privacy nerds, check this out!","","",MEMBER_NETWORK
2025-03-06 19:42:29,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7303500239993196544,"If there was a problem, yo, low-code can solve it. Maybe? Custom software problems, anyway. Whatever, check out this guide.","","",MEMBER_NETWORK
2025-03-04 16:50:47,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7302732252973551617,"🙀Time to let the cat out of the bag! I’m the new content marketing manager at Appsmith. 🎉 ""
""""
""I’m super excited to be part of a company with a bold but practical vision for making LLMs useful beyond churning out marketing slop — and that has the chops to make it happen. (We also just placed on the Forbes Best Startup Employers list. Check us out! 👀)""
""""
""Big ups to Michael Peach, Dessire Ugarte, Kevin Blanco 🎬 , Joseph Petty,  Abhishek Nayak, and everyone else who’s made it a very easy decision to come aboard. Great to be here!","","",MEMBER_NETWORK
2025-01-28 16:35:59,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7290044952904904704,Why not jump on this week's bandwagon and try DeepSeek yourself...,"","",MEMBER_NETWORK
2025-01-09 17:02:43,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7283166313856860161,There's something big happening at Appsmith next week. ⬇️,"","",MEMBER_NETWORK
2024-01-18 15:27:46,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7153769947469336579,Like machine learning? Or stuff I write? Check out the Striveworks newsletter!,"","",MEMBER_NETWORK
2023-11-02 18:16:23,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7125908518146031617,Striveworks is #hiring. Know anyone who might be interested?,"","",MEMBER_NETWORK
2023-10-20 16:07:34,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7121165055970213888,"Bang that gong! I’m thrilled to announce I’ve joined Striveworks as their Marketing Content Manager.""
""""
""Writing is what I’m for — I figured that out ages ago. Content marketing is where I can do it with major impact, especially when it’s for an organization that’s ready to blast off. ""
""""
""Striveworks is making MLOps disappear — taking the fiddly stuff out of training and remediating machine learning models (so even I could do it). The implications are world changing. It’s a major issue we’re tackling, and it’s already having a huge impact for our customers. I’m very excited for my small part in it.""
""""
""Thanks very much to all the Strivers who’ve given me a warm welcome so far — especially Tracy D. Shank ⭐, Tom Christensen, Grace Rebesco, James Rebesco, Mark Zimmer, John Joyce, Travis Johnston, Kevin Harris, CPA, Eddy Chavarria, Courtney Kroll, and Charlotte McWilliams.""
""""
""Want to know how we’re disappearing MLOps? Hit me up — I’m happy to share what I know or connect you to the people who do. (P.S. We’re hiring!)","","",MEMBER_NETWORK
2023-09-29 18:33:47,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7113591708914745344,"Check it out!""
""""
""https://lnkd.in/gVM93wnc","","",MEMBER_NETWORK
2023-05-18 20:17:40,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7065057875848564737,"What a year! Unfortunately, I got caught up in a recent round of layoffs and I'm looking for my next role. I'm really proud of the work I accomplished during my time at Urbint and I'm thankful for the opportunity to work with a great team of people pushing out some innovative technology that's having a real impact on people's lives. (A final #shoutout to Vicky Wu and Michael Dolmatch for all their support and camaraderie.) ""
""""
""Like so many people these days, I'm glad for a bit of downtime. But I'm still itching to figure out the next place I can get my hands dirty. If you need an inquisitive content marketer you can trust to deliver the goods without a fuss (or you know someone who does), let's chat!""
""""
""#technology #b2bmarketing #ai #saasmarketing #contentmarketing","","",MEMBER_NETWORK
2023-05-10 15:51:48,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7062091866275467264,"","","",MEMBER_NETWORK
2023-05-01 16:05:36,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7058833849388040193,"","","",MEMBER_NETWORK
2023-04-27 17:32:18,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7057406114304331776,"","","",MEMBER_NETWORK
2023-04-20 15:32:17,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7054839198977073152,"","","",MEMBER_NETWORK
2023-04-19 15:12:42,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7054471882770702336,"","","",MEMBER_NETWORK
2023-04-13 15:01:18,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7052294687239405569,"","","",MEMBER_NETWORK
2023-04-05 17:50:24,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7049438136111673344,"","","",MEMBER_NETWORK
2023-03-30 16:07:02,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7047237796461228033,"","","",MEMBER_NETWORK
2023-03-28 15:05:19,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7046497489029394432,"","","",MEMBER_NETWORK
2023-03-09 19:38:03,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7039680758294216704,"","","",MEMBER_NETWORK
2023-03-02 19:03:30,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7037135347180310530,"","","",MEMBER_NETWORK
2023-02-22 16:27:21,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7034196947515129856,"","","",MEMBER_NETWORK
2023-01-31 15:57:48,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7026216979313102848,"","","",MEMBER_NETWORK
2023-01-18 16:30:29,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7021514160416980992,"","","",MEMBER_NETWORK
2023-01-04 16:30:56,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7016440842856931328,"","","",MEMBER_NETWORK
2022-12-13 15:55:34,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7008459409311817728,"","","",MEMBER_NETWORK
2022-12-07 16:33:45,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7006294690484359168,"","","",MEMBER_NETWORK
2022-11-30 16:21:00,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7003754767772499968,"","","",MEMBER_NETWORK
2022-11-17 18:33:21,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6999077035750944769,"","","",MEMBER_NETWORK
2022-11-10 14:13:06,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6996474823912681472,"","","",MEMBER_NETWORK
2022-11-09 14:38:22,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6996118795597602816,"","","",MEMBER_NETWORK
2022-11-08 14:36:41,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6995755982777700352,"","","",MEMBER_NETWORK
2022-10-31 15:28:02,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6992869803350732800,"","","",MEMBER_NETWORK
2022-10-20 17:14:35,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6988910353040506881,"","","",MEMBER_NETWORK
2022-10-18 13:43:05,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6988132348319981569,"","","",MEMBER_NETWORK
2022-10-11 14:56:38,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6985614145136078848,"","","",MEMBER_NETWORK
2022-09-29 15:35:43,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6981275326840512512,"","","",MEMBER_NETWORK
2022-09-22 16:05:43,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6978746159594921984,"","","",MEMBER_NETWORK
2022-09-20 17:45:32,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6978046505425260544,"","","",MEMBER_NETWORK
2022-09-15 13:35:21,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6976171602820427776,"","","",MEMBER_NETWORK
2022-09-13 16:30:39,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6975490944204718082,"","","",MEMBER_NETWORK
2022-09-08 17:47:01,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6973698222850527232,"","","",MEMBER_NETWORK
2022-09-07 16:07:25,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6973310767685148672,"","","",MEMBER_NETWORK
2022-09-01 14:17:58,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6971108897000448000,"","","",MEMBER_NETWORK
2022-08-26 15:23:30,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6968951064268091392,"","","",MEMBER_NETWORK
2022-08-23 14:13:49,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6967846365150294016,"","","",MEMBER_NETWORK
2022-08-16 14:36:22,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6965315323046547456,"","","",MEMBER_NETWORK
2022-08-11 15:31:19,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6963517213626486784,"","","",MEMBER_NETWORK
2022-08-08 16:16:50,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6962441504745304064,"","","",MEMBER_NETWORK
2022-08-05 15:57:38,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6961349506625912832,"","","",MEMBER_NETWORK
2022-07-27 18:25:45,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6958125292037054464,"","","",MEMBER_NETWORK
2022-07-22 16:13:55,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6956280176372592640,"","","",MEMBER_NETWORK
