Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Raspberry Pi Essential Training (2022),"In this introductory class to the Raspberry Pi, technologist Mark Niemann-Ross explains the vocabulary associated with this single-board computer, then shows you how to plug in peripherals and perform basic computing tasks. Mark first describes how the Raspberry Pi compares to other computers and how it can be used as a media server, musical instrument, robotics controller, and more. He covers the members of the Raspberry Pi family and how to select the one that is right for you and the accessories that you need to use it effectively. Mark walks you through connecting your Raspberry Pi to wi-fi and ethernet, as well as getting it started. After examining operating systems for Raspberry Pi, he goes into why a virtual networking computer (VNC) for Raspberry Pi can be very helpful and how you can enable and use one. Mark discusses sound on your Raspberry Pi and how to use and control the GPIO board. After going over Raspberry Pi hardware, he dives into the Raspberry Pico microcontroller, then finishes up with how to run the Raspberry Pi OS on other computers.
<br><br>
Note: This course was created by Mark Niemann-Ross. We are pleased to host this training in our library.",Course,2022-09-14 19:49 UTC,N/A,false,N/A,
California Consumer Privacy Act (CCPA) Essential Training,"<p>The California Consumer Privacy Act (CCPA) is the first major privacy act to come out of the United States. In this course, instructor Mandy Huth explains what the CCPA is and how it is similar and different from the General Data Protection Regulation (GDPR). Mandy goes through the scope of the act, consumer rights, enforcement via the California Privacy Protection Agency (CPPA), and penalties. This course also covers the newest amendment to the regulation, called the California Privacy Rights Act (CPRA), as well as the new “cookie law” that is required for websites.
 </p><P>
 
DISCLAIMER: Neither LinkedIn nor the instructor represents you, and they are not giving legal advice. The information conveyed through this course is not intended to give legal advice, but instead to communicate information to help viewers understand the basics of the topic presented. Certain concepts may not apply in all countries. The views (and legal interpretations) presented in this course do not necessarily represent the views of LinkedIn.",Course,2025-11-10 07:25 UTC,N/A,false,N/A,
Marketing: How to Use High-Impact Storytelling,"<p>It’s never been harder to get customers’ attention—and keep it. When you’re marketing your brand, you may be tempted to just spout key facts and figures that you think your audience will connect with, but some of the most impactful marketing comes in the form of story-based content. In this course, marketing storytelling expert Melanie Deziel shows you how to leverage storytelling in content to increase the impact of your marketing. Melanie outlines four key characteristics of high-impact content, and provides tangible ways to ensure that your content meets those standards. She explains how to tailor your marketing content to be more compelling, credible, valuable, and visible to your customers. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/social-media-marketing-professional-certificate-by-hootsuite"" target=""_blank"">Professional Certificate</a> from Hootsuite.</p>",Course,2024-08-24 12:14 UTC,N/A,false,N/A,
Nano Tips for Developing Magnetic Charisma with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, find out why charisma is such a valuable skill and how you can develop your own charisma with ease, exploring key insights from award-winning leadership strategist and peak performance specialist Shadé Zahrai.<br><br>Gather strategies to build authentic charisma to start creating better first impressions and new connections today. Get tips on energizing others with charismatic presence and magnetic communication. Along the way, Shadé shows you techniques for using eye contact, pauses, presentation starts, tension-building tools, simplified language, genuine care, and more.",Course,2023-03-30 16:57 UTC,N/A,false,N/A,
The Secret to Better Decisions: Stop Hoarding Chips,"All day, we make decisions—from what to have for lunch to whether or not to shut down a product line. These decisions shape our careers and haunt our dreams.
<br><br>
It turns out that people aren’t very good at making decisions, and the main reason is simple: we hoard our chips. We overvalue things we’ve built, experiences we’ve endured and assets we’ve acquired. As a result, we get stuck. Too many dead ends and too many regrets.
<br><br>
The promise of this course is simple: You and your coworkers will finally be able understand why we get stuck and what to do about it. With engaging stories and a new way to talk about the issue, Seth Godin helps you see how to stop being manipulated and start leading instead.",Course,2022-11-09 16:55 UTC,N/A,false,N/A,
Demystifying Advanced and Complex Security Topics,"<p>Have you ever wanted to know more about the complex world of cybersecurity, but weren’t sure where or how to begin? This course is designed to help you unravel the intricacies of some of the most important and most challenging topics in today’s cybersecurity landscape, particularly if you already have a basic understanding of the field and are looking to learn more about advanced concepts and practices.</p><p>Join industry-leading expert and CISO Jerich Beason as he covers a wide variety of topics, including advanced threat detection, complex network security architectures, cutting-edge cybersecurity technologies, and the latest trends in cyberdefense strategies. By the end of this course, you’ll be prepared to identify, think about, explain, and address complex cybersecurity challenges using industry-leading protocols and practices.</p>",Course,2024-10-28 23:51 UTC,N/A,false,N/A,
"Italian, Part 3: Building More Complex Sentences","<p>The less-visited southern region of Basilicata contains rich treasures of history and culture. In this course—the third in a four-part series from The Great Courses—discover its ancient rock-carved houses and lunar landscapes as you return to Italian nouns, working with their plural endings and irregular forms. Then, add the interrogative nouns and pronouns (“who,” “what,” “why”), as you learn about the celebrated novel from Carlo Levi which made this region famous.</p>
<p><b>About the instructor</b><br><br>
Kristina Olson is an associate professor of Italian and the Italian program coordinator at George Mason University, where she has taught Italian language, literature, and cinema since 2005. She earned her PhD in Italian from Columbia University. Professor Olson is the author of <i>Courtesy Lost: Dante, Boccaccio, and the Literature of History</i> and several articles on Dante, Boccaccio, and Petrarch. She is the coeditor of <i>Open City: Seven Writers in Postwar Rome</i>; <i>Boccaccio 1313–2013</i>; and the second edition of <i>Approaches to Teaching Dante’s Divine Comedy</i> with the Modern Language Association. Professor Olson is the president of the American Boccaccio Association and was the vice president of the Dante Society of America.</p>",Course,2025-08-05 15:58 UTC,N/A,false,N/A,
AI Ethics: Disability-Centered Frameworks,"Building disability- and neurodiversity-centered AI systems helps not only the over one billion people with impairments globally, but everyone else, as well. In this course, technology explorer and public voice for the algorithmic spectrum Yonah Welker guides you through disability and AI bias, as well as systems and risks. Learn about disability-centered data, models, knowledge frameworks, and policies. Plus, explore positive ways forward.",Course,2025-02-06 22:29 UTC,N/A,false,N/A,
Learning Python (2021),"<p>Python—the popular and highly-readable object-oriented language—is both powerful and relatively easy to learn. Whether you're new to programming or an experienced developer, this course can help you get started with Python. Joe Marini provides an overview of the installation process, basic Python syntax, and an example of how to construct and run a simple Python program. Learn to work with dates and times, read and write files, and retrieve and parse HTML, JSON, and XML data from the web.</p>
<p>This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice alongside the course content to advance your programming skills.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/anaconda-python-for-data-science-professional-certificate"" target=""_blank"">Professional Certificate</a> from Anaconda.</p>",Course,2022-10-10 11:53 UTC,N/A,false,N/A,
Earning Money as a Creator,"<p>You’ve created engaging content and started building fans and followers – so now what? Whether you’re just getting started making money or you’re an experienced creator looking to  level up your game, this course from creator marketing leader Ryan Lee is for you.</p>

<p>Start with the basics of earning money as a creator, including how much you can expect, knowing when is the right time to start earning money, and the top ways creators are making money today. Dig into the top ways creators are earning money today, so you can determine which ways make the most sense for you. Explore the do’s and don’t's of earning money as a creator, so you can monetize your content the right way. Plus, dive even deeper into some advanced creator monetization strategies and trends, so you can grow even more as a creator and achieve your revenue goals.</p>",Course,2025-12-03 15:01 UTC,N/A,false,N/A,
