Company Name,Title,Description,Location,Started On,Finished On
Kite AI,Product Marketing Manager,"Kite makes websites that take care of themselves. I lead go-to-market (positioning, pricing, launch strategy, and growth) for an AI-native website platform that creates custom sites through conversation and maintains them autonomously. We're building for solo professionals who'd rather run their business than babysit their website.",,Jan 2026,
Appsmith,Product Marketing Manager,,,Jun 2025,
Appsmith,Content Marketing Manager,,,Jan 2025,Jun 2025
Striveworks,Marketing Content Manager,"• Developed and executed content marketing strategies for MLOps technology that increased website traffic 11x and social engagement 5x  • Produced blog posts, white papers, press releases, case studies, videos, and other media that earned #1 Google rankings for critical keywords  • Built zero-to-one processes for content and product marketing that enabled scalable workflows  • Introduced generative AI tools that accelerated content production by 50%  • Mentored a team of subject matter experts to 2x the output of thought leadership content","Austin, Texas Metropolitan Area",Sep 2023,Jul 2024
Urbint,Senior Content Marketing Manager,"• Led content marketing for niche-leading AI solutions, driving thought leadership, SEO ranking, and audience engagement  • Executed integrated content programs that leveraged blog posts, social posts, ebooks, webinars, videos, and other media to raise audience engagement by 25%  • Analyzed and monitored content performance data to produce insights that garnered #1 Google rankings for over 50 keywords  • Partnered with customer support and sales to produce case studies with billion-dollar companies, including an FTSE 100 constituent",,Jun 2022,May 2023
Wenco International Mining Systems,"Manager, Marketing Communications","• Led communications and product marketing for the data and IIoT division of Hitachi Construction Machinery  • Spearheaded the integrated demand-generation strategy that contributed to a 20% growth in sales pipeline  • Produced demand generation campaigns, case study videos, and webinars that reached click-through rates of up to 35.8%  • Originated buyer personas, messaging briefs, sales enablement, and other processes to ensure effective campaign execution  • Authored conference papers, white papers, ebooks, and other content that converted 10x above company benchmarks",Remote,Apr 2019,Jun 2022
Wenco International Mining Systems,Marketing Communications Specialist,"• Initiated inbound and outbound marketing strategies to support a range of industrial SaaS technologies  • Owned content and communications that produced 1,000+ MQLs worth millions of dollars in sales  • Tracked performance data and implemented A/B testing to drive continuous improvement for all marketing campaigns",Remote,Jul 2014,Apr 2019
Hatfield Consultants,Technical Writer and Desktop Publishing Specialist,"◆ Provided detailed writing and editing services to corporate clients, including Shell and the Southern African Development Community ◆ Collaborated with marketing staff to generate multimedia content for news releases, mailouts, and corporate websites ◆ Designed and presented corporate training seminars for clients and staff that explain best practices for strong technical writing ◆ Spearheaded initiatives to improve the writing ability of staff, such as developing a house style guide on grammar and usage ◆ Designed print and digital marketing campaigns using Adobe Creative Suite, Mailchimp, Wordpress, Twitter, and Facebook ◆ Formatted scientific reports for print and digital distribution","Vancouver, British Columbia, Canada",Feb 2011,Jul 2014
Shane English School,ESL Teacher,"◆ Taught English as a second language in Dalian, China to students ranging in age from three to 17  ◆ Trained and advised fellow teachers on ESL instruction, grammar, usage, pronunciation, teaching activities, and lesson planning ◆ Developed course guides and syllabi for ESL classes, with an emphasis on media and hands-on activities",,Sep 2007,Aug 2010
The Muse,Copy Editor,"◆ Edited all content for grammar, style, and usage in accordance with Canadian Press guidelines ◆ Researched and wrote news articles on a range of topics, many of which received syndication in newspapers across Canada ◆ Managed 14 employees and 40 volunteers, guiding several of them into careers at Canadian media agencies such as the Toronto Sun and the CBC ◆ Provided seminars and one-on-one training in effective writing and editing techniques ◆ Maintained the publication's house style guide","St. John's, Newfoundland and Labrador, Canada",2004,2006
The Muse,Editor-in-Chief,"◆ Oversaw operations at Atlantic Canada’s largest student newspaper in its first year as an independent corporation ◆ Researched and wrote news articles on a range of topics, many of which received syndication in newspapers across Canada ◆ Edited all content for grammar, style, and usage in accordance with Canadian Press guidelines ◆ Managed 14 employees and 40 volunteers, guiding several of them into careers at Canadian media agencies such as the Toronto Sun and the CBC ◆ Provided seminars and one-on-one training in effective writing and editing techniques ◆ Approved financial decisions in conjunction with the business manager","St. John's, Newfoundland and Labrador, Canada",2003,2004
